"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\store\actionCreators.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 24, 8, 46
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\store\actionTypes.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\store\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\store\reducer.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\components\header\index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\components\header\index.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\index.js", "JavaScript", 0, 0, 0, 171, 0, 0, 0, 0, 0, 1, 9, 181
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\index.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 8, 144
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkBalanceSheet\index.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 114
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkBalanceSheet\index.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkCash\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkCash\index.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkJournalEntry\index.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 13, 136
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkJournalEntry\index.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 51
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkProfitSheet\index.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\checkProfitSheet\index.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\downloadExperimentReport\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\downloadExperimentReport\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\experimentalExperience\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\experimentalExperience\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\memberSet\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\memberSet\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\previewExperimentReport\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\pages\previewExperimentReport\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
